,ODO % sat_chesa,ODO mg/L_chesa,Temp °C_chesa,SpCond µS/cm_chesa,Turbidity NTU_chesa,pH_chesa,ORP mV_chesa,Depth m_chesa,ODO % sat_charl,ODO mg/L_charl,Temp °C_charl,SpCond µS/cm_charl,Turbidity NTU_charl,pH_charl,ORP mV_charl,Depth m_charl,Discharge,Gage height
2018-01-20 00:00:00,121.18333333333334,17.076666666666664,0.5233333333333333,137.61666666666667,18.14333333333333,6.081666666666666,277.4833333333333,1.0,108.56666666666666,8.441666666666668,0.9516666666666668,119.33333333333333,33.02333333333333,6.39,158.86666666666665,1.0,12505.833333333334,18.72708333333333
2018-01-20 06:00:00,124.60000000000001,17.445000000000004,0.7566666666666667,142.46666666666667,28.941666666666663,6.091666666666668,283.73333333333335,1.0,108.0,8.32,0.9466666666666667,120.96666666666668,29.075000000000003,6.38,158.66666666666669,1.0,11676.666666666666,18.39791666666667
2018-01-20 12:00:00,124.76666666666667,17.401666666666667,0.8849999999999999,146.50000000000003,28.331666666666667,6.131666666666667,284.51666666666665,1.0,107.71666666666668,8.298333333333332,0.85,121.34999999999998,29.121666666666666,6.47,161.20000000000002,1.0,11570.833333333334,18.657083333333333
2018-01-20 18:00:00,125.2,17.34166666666667,1.14,143.3,32.0,6.134999999999999,285.0833333333333,1.0,108.60000000000002,8.178333333333333,1.1900000000000002,123.68333333333334,23.751666666666665,6.596666666666667,166.33333333333334,1.0,9280.0,18.5125
2018-01-21 00:00:00,123.16666666666667,17.171666666666667,0.9116666666666666,143.56666666666666,31.823333333333334,6.093333333333333,289.1333333333333,1.0,108.91666666666667,7.998333333333334,1.2733333333333334,127.56666666666668,23.868333333333336,6.43,158.73333333333332,1.0,10916.666666666666,18.37541666666667
2018-01-21 06:00:00,122.58333333333333,17.088333333333335,0.9083333333333333,149.21666666666667,21.086666666666666,6.101666666666667,293.4833333333333,1.0,109.10000000000001,7.81,1.4749999999999999,130.9,23.135,6.436666666666667,157.95000000000002,1.0,9459.166666666666,18.454166666666662
2018-01-21 12:00:00,122.88333333333334,17.078333333333333,1.015,152.15,17.621666666666666,6.121666666666666,296.06666666666666,1.0,108.91666666666667,7.723333333333334,1.5233333333333334,132.26666666666668,20.76,6.461666666666666,158.51666666666665,1.0,8847.083333333334,18.504166666666666
2018-01-21 18:00:00,123.63333333333333,17.01166666666667,1.3716666666666668,155.08333333333334,16.686666666666667,6.19,293.4166666666667,1.0,109.31666666666666,7.641666666666667,1.6866666666666668,133.85000000000002,21.814999999999998,6.503333333333334,160.35,1.0,9315.416666666666,18.3175
2018-01-22 00:00:00,123.03333333333335,16.881666666666668,1.4716666666666667,156.49999999999997,15.575000000000003,6.2250000000000005,291.65000000000003,1.0,108.26666666666665,7.5,1.6483333333333334,135.48333333333335,22.10666666666667,6.453333333333333,158.28333333333333,1.0,9309.166666666666,18.287083333333328
2018-01-22 06:00:00,122.11666666666667,16.81,1.3566666666666667,158.26666666666665,14.935,6.188333333333333,295.6333333333333,1.0,107.33333333333333,7.359999999999999,1.566666666666667,137.58333333333331,20.53166666666667,6.438333333333333,158.31666666666663,1.0,8242.083333333334,18.215
