Date-Time,ODO % sat_chesa,ODO mg/L_chesa,Temp °C_chesa,SpCond µS/cm_chesa,Turbidity NTU_chesa,pH_chesa,ORP mV_chesa,Depth m_chesa,ODO % sat_pocat,ODO mg/L_pocat,Temp °C_pocat,SpCond µS/cm_pocat,Turbidity NTU_pocat,pH_pocat,ORP mV_pocat,Depth m_pocat
2018-01-11 18:00:00,122.175,17.2225,0.4975,214.0,5.08,6.84,286.325,1.0,100.35,1.67,0.69,312.625,4.385,3.4625,268.5,1
2018-01-12 00:00:00,121.99999999999999,17.198333333333334,0.5083333333333333,211.78333333333333,5.213333333333334,6.688333333333335,283.95,1.0,99.51666666666665,1.6449999999999998,0.9583333333333334,312.21666666666664,4.426666666666667,2.9783333333333335,276.31666666666666,1
2018-01-12 06:00:00,121.78333333333335,17.138333333333332,0.5583333333333333,209.25,5.531666666666667,6.629999999999999,279.95,1.0,95.48333333333333,1.5266666666666666,1.1616666666666668,314.65000000000003,8.631666666666666,2.966666666666667,273.31666666666666,1
2018-01-12 12:00:00,121.80000000000001,17.028333333333332,0.795,208.18333333333337,5.721666666666667,6.614999999999999,280.85,1.0,95.91666666666667,1.7033333333333331,1.2983333333333336,304.65,77.06666666666666,3.151666666666667,219.4,1
2018-01-12 18:00:00,121.76666666666667,16.915000000000003,1.0166666666666666,213.71666666666667,6.216666666666666,6.620000000000001,281.05,1.0,98.43333333333334,1.9566666666666668,1.5566666666666666,292.95,135.1,3.208333333333334,232.23333333333332,1
2018-01-13 00:00:00,121.40000000000002,16.733333333333334,1.3083333333333333,218.4666666666667,7.993333333333332,6.653333333333333,275.2833333333333,1.0,100.01666666666667,1.4466666666666665,1.9333333333333333,321.8833333333333,42.800000000000004,3.3333333333333326,225.13333333333333,1
2018-01-13 06:00:00,120.36666666666666,16.545,1.4050000000000002,217.9,18.723333333333336,6.673333333333335,259.4166666666667,1.0,98.8,2.311666666666666,1.9716666666666667,275.50000000000006,0.0,3.231666666666667,208.23333333333335,1
2018-01-13 12:00:00,118.93333333333334,16.073333333333334,2.026666666666667,217.51666666666668,23.450000000000003,6.66,254.35,1.0,95.80000000000001,3.051666666666667,2.111666666666667,240.66666666666666,0.0,3.2166666666666663,185.80000000000004,1
2018-01-13 18:00:00,120.33333333333333,15.801666666666668,3.0900000000000003,187.33333333333334,36.87,6.583333333333333,260.04999999999995,1.0,93.73333333333333,4.401666666666666,2.776666666666667,189.73333333333335,0.0,3.2166666666666663,177.60000000000002,1
2018-01-14 00:00:00,123.71666666666665,16.275000000000002,3.026666666666667,168.15,94.20166666666667,6.375,274.61666666666673,1.0,92.91666666666667,5.338333333333334,2.8383333333333334,159.85000000000002,169.31666666666663,3.19,179.85,1
2018-01-14 06:00:00,126.21666666666665,16.8,2.595,150.63333333333333,100.81666666666666,6.2749999999999995,281.28333333333336,1.0,92.10000000000001,5.511666666666667,3.231666666666667,152.05,263.45,3.0516666666666663,200.81666666666663,1
2018-01-14 12:00:00,128.68333333333337,17.22,2.398333333333333,135.46666666666667,91.735,6.203333333333333,283.0833333333333,1.0,93.08333333333333,6.113333333333333,3.361666666666667,136.78333333333333,198.4333333333333,2.9966666666666666,221.96666666666667,1
2018-01-14 18:00:00,129.7,17.395,2.315,148.13333333333333,96.29833333333333,6.255,279.46666666666664,1.0,98.25,6.281666666666667,3.2466666666666675,141.63333333333333,103.2,2.9683333333333333,232.54999999999995,1
2018-01-15 00:00:00,130.45000000000002,17.711666666666666,1.8683333333333334,155.98333333333332,129.35,6.261666666666667,286.2,1.0,101.60000000000001,6.891666666666667,2.893333333333333,133.48333333333335,84.78333333333333,2.845,241.25,1
2018-01-15 06:00:00,130.46666666666667,18.220000000000002,0.8466666666666667,167.33333333333334,104.93833333333335,6.23,289.74999999999994,1.0,103.7,7.050000000000001,2.463333333333333,134.9333333333333,137.95000000000002,2.901666666666667,244.83333333333334,1
2018-01-15 12:00:00,131.71666666666667,18.543333333333333,0.5466666666666666,164.48333333333332,89.27500000000002,6.203333333333333,289.48333333333335,1.0,104.3,6.645,2.2049999999999996,146.41666666666669,101.18666666666667,3.056666666666666,252.4333333333333,1
2018-01-15 18:00:00,131.96666666666667,18.485,0.7266666666666667,161.11666666666667,95.50999999999999,6.2316666666666665,284.75,1.0,105.48333333333335,6.618333333333333,1.7366666666666666,150.73333333333335,53.645,3.341666666666667,252.61666666666667,1
2018-01-16 00:00:00,130.20000000000002,18.103333333333335,1.0,153.0,91.89166666666665,6.218333333333333,285.99999999999994,1.0,105.64999999999999,6.420000000000001,1.325,157.4,66.45833333333333,3.1666666666666665,268.81666666666666,1
2018-01-16 06:00:00,129.18333333333334,17.828333333333333,1.2700000000000002,144.28333333333333,64.00166666666667,6.193333333333334,288.63333333333327,1.0,105.28333333333335,6.536666666666666,1.155,154.88333333333333,71.485,3.1200000000000006,276.6333333333333,1
2018-01-16 12:00:00,128.98333333333332,17.68,1.515,141.3166666666667,65.53,6.191666666666666,289.3,1.0,106.09999999999998,6.616666666666666,1.0283333333333335,154.78333333333333,67.555,3.1783333333333332,279.81666666666666,1
2018-01-16 18:00:00,128.41666666666666,17.578333333333333,1.5616666666666668,138.29999999999998,60.50000000000001,6.176666666666667,288.8666666666666,1.0,105.58333333333333,6.705000000000001,1.0750000000000002,151.71666666666667,71.39333333333333,3.305,274.73333333333335,1
