Date-Time,ODO % sat_charl,ODO mg/L_charl,Temp °C_charl,SpCond µS/cm_charl,Turbidity NTU_charl,pH_charl,ORP mV_charl,Depth m_charl,ODO % sat_pocat,ODO mg/L_pocat,Temp °C_pocat,SpCond µS/cm_pocat,Turbidity NTU_pocat,pH_pocat,ORP mV_pocat,Depth m_pocat
2018-01-16 06:00:00,113.06666666666666,7.741666666666667,0.86,140.91666666666666,73.05,6.576666666666667,150.08333333333334,1.0,105.28333333333335,6.536666666666666,1.155,154.88333333333333,71.485,3.1200000000000006,276.6333333333333,1
2018-01-16 12:00:00,111.8,7.966666666666668,1.0716666666666665,133.48333333333332,60.870000000000005,6.5616666666666665,149.85000000000002,1.0,106.09999999999998,6.616666666666666,1.0283333333333335,154.78333333333333,67.555,3.1783333333333332,279.81666666666666,1
2018-01-16 18:00:00,111.44999999999999,8.23,1.3,126.48333333333335,57.788333333333334,6.555,149.9333333333333,1.0,105.58333333333333,6.705000000000001,1.0750000000000002,151.71666666666667,71.39333333333333,3.305,274.73333333333335,1
2018-01-17 00:00:00,110.86666666666667,8.211666666666668,1.3283333333333334,125.83333333333333,56.595,6.5249999999999995,151.15,1.0,104.08333333333333,6.863333333333333,1.1416666666666664,145.55,79.09833333333333,3.1216666666666666,284.2,1
2018-01-17 06:00:00,110.28333333333332,8.348333333333333,1.2683333333333333,122.43333333333334,52.82666666666666,6.489999999999999,154.35,1.0,104.36666666666666,7.041666666666667,1.1783333333333332,141.66666666666669,68.45666666666666,3.0566666666666666,288.6166666666666,1
2018-01-17 12:00:00,108.96666666666668,8.48,1.2533333333333334,117.71666666666665,50.63333333333333,6.456666666666666,156.0,1.0,103.73333333333333,7.125,1.2233333333333334,138.54999999999998,71.445,2.9983333333333335,290.8833333333334,1
2018-01-17 18:00:00,108.78333333333335,8.585,1.3399999999999999,114.91666666666667,47.699999999999996,6.468333333333333,155.91666666666669,1.0,103.36666666666666,7.091666666666666,1.3,138.41666666666666,73.99333333333334,3.0833333333333335,285.1666666666667,1
2018-01-18 00:00:00,108.61666666666666,8.628333333333332,1.2483333333333333,114.25,45.974999999999994,6.418333333333333,156.5,1.0,103.5,7.1933333333333325,1.28,136.4333333333333,70.37333333333333,2.8066666666666666,292.9666666666667,1
2018-01-18 06:00:00,108.21666666666664,8.651666666666667,1.1033333333333333,113.73333333333333,46.175000000000004,6.390000000000001,157.65,1.0,103.33333333333336,7.3,1.2233333333333334,134.06666666666666,68.60666666666667,2.68,299.6166666666666,1
2018-01-18 12:00:00,108.61666666666667,8.673333333333334,0.985,114.51666666666667,40.861666666666665,6.453333333333334,159.83333333333334,1.0,102.0,7.206666666666666,1.0599999999999998,134.70000000000002,69.64333333333332,2.5916666666666663,305.15000000000003,1
2018-01-18 18:00:00,109.51666666666667,8.635,1.175,115.86666666666666,38.835,6.578333333333333,163.11666666666667,1.0,103.18333333333334,7.241666666666666,1.2999999999999998,134.73333333333335,65.28666666666666,3.3833333333333333,296.18333333333334,1
2018-01-19 00:00:00,109.61666666666666,8.569999999999999,1.1366666666666667,117.51666666666665,32.07999999999999,6.428333333333334,156.43333333333334,1.0,103.13333333333334,7.305,1.2566666666666666,133.38333333333333,68.02,2.6249999999999996,301.8833333333334,1
2018-01-19 06:00:00,108.88333333333334,8.485000000000001,0.8516666666666666,119.41666666666667,34.80833333333333,6.403333333333333,156.79999999999998,1.0,101.18333333333334,7.006666666666667,1.1050000000000002,137.85,62.88666666666666,2.4266666666666667,306.55,1
2018-01-19 12:00:00,108.45,8.568333333333333,0.6616666666666667,117.93333333333334,33.541666666666664,6.478333333333333,159.71666666666667,1.0,102.81666666666666,7.238333333333332,1.0533333333333332,135.35000000000002,62.01333333333333,2.486666666666667,308.2333333333333,1
2018-01-19 18:00:00,108.64999999999999,8.486666666666666,0.9233333333333333,118.64999999999999,31.69,6.6000000000000005,165.81666666666666,1.0,104.06666666666668,7.099999999999999,1.2616666666666665,139.55,55.69,3.358333333333333,301.0,1
2018-01-20 00:00:00,108.56666666666666,8.441666666666668,0.9516666666666668,119.33333333333333,33.02333333333333,6.39,158.86666666666665,1.0,103.53333333333335,6.868333333333335,1.1566666666666667,144.51666666666665,58.48333333333334,2.4583333333333335,305.48333333333335,1
2018-01-20 06:00:00,108.0,8.32,0.9466666666666667,120.96666666666668,29.075000000000003,6.38,158.66666666666669,1.0,102.08333333333333,6.625,1.0333333333333334,148.5,52.921666666666674,2.305,307.53333333333336,1
2018-01-20 12:00:00,107.71666666666668,8.298333333333332,0.85,121.34999999999998,29.121666666666666,6.47,161.20000000000002,1.0,104.28333333333335,6.373333333333332,1.1133333333333335,157.5,50.98666666666667,2.566666666666667,306.84999999999997,1
